PolygonID,LCID,HydroSG,CN,Acres,PCT_Area,CCN,CatchmentID
447,23,C,79,3.0869021,0.0013015,0.1028169,10
448,23,B,69,0.898687,0.0003789,0.026144,8
449,23,,,8.917881,0.0037599,,8
450,23,C,79,2.0965836,0.0008839,0.0698319,10
451,23,C,79,0.9963485,0.0004201,0.0331858,10
452,23,B,69,0.2005866,0.0000846,0.0058353,8
453,23,D,84,0.9126935,0.0003848,0.0323235,10
454,23,D,84,18.7672081,0.0079125,0.6646506,10
455,23,D,84,0.0537388,0.0000227,0.0019032,10
456,21,C,79,0.0421374,0.0000178,0.0014035,20
457,21,B,69,0.5485989,0.0002313,0.0159595,20
458,41,A,36,0.2393141,0.0001009,0.0036323,20
459,21,A,49,0.087713,0.000037,0.0018121,20
460,22,C,79,0.8512753,0.0003589,0.0283538,21
461,22,C,79,0.0418926,0.0000177,0.0013953,21
462,23,,,0.1521871,0.0000642,,28
463,21,A,49,0.2189298,0.0000923,0.0045229,13
464,21,B,69,0.003465,0.0000015,0.0001008,13
465,22,A,49,0.4103083,0.000173,0.0084766,17
466,22,A,49,0.0051072,0.0000022,0.0001055,17
467,22,C,79,1.5112125,0.0006371,0.0503347,17
468,22,B,69,0.0143297,0.000006,0.0004169,24
469,22,A,49,1.0151694,0.000428,0.0209724,24
470,21,B,69,0.0576388,0.0000243,0.0016768,24
471,21,A,49,1.5291505,0.0006447,0.0315908,24
472,21,A,49,0.2223948,0.0000938,0.0045945,20
473,21,B,69,0.2223948,0.0000938,0.0064698,20
474,43,B,60,1.071041,0.0004516,0.0270939,20
475,43,A,36,0.1984955,0.0000837,0.0030128,20
476,21,C,79,0.1146025,0.0000483,0.0038171,18
477,21,C,79,0.1077923,0.0000454,0.0035903,18
478,41,C,73,0.2688818,0.0001134,0.0082756,18
479,41,C,73,0.4810806,0.0002028,0.0148066,18
480,41,C,73,0.2010171,0.0000848,0.0061869,18
481,41,C,73,1.4142113,0.0005963,0.0435263,18
482,41,D,79,1.5876851,0.0006694,0.0528818,18
483,22,B,69,0.1424717,0.0000601,0.0041447,13
484,43,A,36,0.1857145,0.0000783,0.0028188,17
485,43,A,36,0.824917,0.0003478,0.0125207,17
486,22,B,69,0.1923786,0.0000811,0.0055965,17
487,22,B,69,0.708963,0.0002989,0.0206247,20
488,22,A,49,2.1891758,0.000923,0.0452263,20
489,22,B,69,2.6913025,0.0011347,0.0782936,20
490,22,B,69,1.2749192,0.0005375,0.0370891,17
491,22,D,84,6.4960999,0.0027388,0.2300628,20
492,22,B,69,1.825218,0.0007695,0.053098,17
493,22,C,79,0.2494056,0.0001052,0.0083071,17
494,21,C,79,0.0583214,0.0000246,0.0019425,20
495,21,B,69,0.0016428,0.0000007,0.0000478,20
496,21,B,69,0.3848255,0.0001622,0.0111951,20
497,41,C,73,0.0268202,0.0000113,0.0008255,21
498,41,C,73,0.101226,0.0000427,0.0031155,21
499,41,C,73,0.0241409,0.0000102,0.000743,21
500,24,C,,0.5691595,0.00024,,21
501,24,D,,0.163064,0.0000687,,21
502,22,C,79,0.0098692,0.0000042,0.0003287,13
503,22,A,49,19.5651283,0.0082489,0.4041971,17
504,22,B,69,0.3745397,0.0001579,0.0108959,13
505,22,B,69,0.2000815,0.0000844,0.0058206,17
506,22,D,84,1.9845772,0.0008367,0.0702848,17
507,22,C,79,0.0016652,0.0000007,0.0000555,17
508,41,B,60,0.1728378,0.0000729,0.0043722,24
509,41,A,36,0.2719519,0.0001147,0.0041277,24
510,41,C,73,0.1967742,0.000083,0.0060563,13
511,41,B,60,0.0075218,0.0000032,0.0001903,13
512,41,A,36,0.2404937,0.0001014,0.0036502,13
513,22,C,79,0.2192417,0.0000924,0.0073024,13
514,22,B,69,0.0724,0.0000305,0.0021062,13
515,22,A,49,0.041344,0.0000174,0.0008541,13
516,22,B,69,0.111804,0.0000471,0.0032525,13
517,21,C,79,0.1581423,0.0000667,0.0052673,13
518,21,A,49,2.4391031,0.0010284,0.0503896,13
519,21,B,69,0.3786426,0.0001596,0.0110152,13
